1abt_1 -11019.506158267068
1abt_2 -8045.906613374347
1abt_3 -11123.691396619237
1afk_1 -8147.084289539816
1afk_2 -8946.31465963539
1afk_3 -5395.933448094416
1afk_4 -7327.596605618957
1afk_5 -7865.170766789997
1afl_2 -11408.250872461133
1afl_3 -7401.4857264563325
1afl_4 -8660.194868390303
1afl_5 -4601.767222119364
1afl_6 -5468.043015566571
1afl_7 -5469.812253311353
1aze_3 -9450.929800670994
1azg_1 -9032.709424438217
1azg_2 -6434.229895638982
1azg_3 -7345.630064433186
1bbz_1 -8924.228571241023
1bbz_2 -5559.791495330537
1bbz_3 -7889.0856096651405
1bhf_1 -7704.382642728677
1bhf_2 -4395.536577897205
1bhf_3 -7901.510407767928
1bhf_5 -4375.05995199853
1bhf_6 -4161.582200581739
1bhf_7 -7432.21439562794
1ceb_2 -7587.196510781585
1ceb_4 -4727.704242005868
1ceb_5 -5700.9581150861995
1cka_1 -7528.767730643529
1cka_2 -4528.804514775933
1cka_3 -4482.077449435648
1cka_4 -7140.830027502758
1ckb_1 -7010.980750240935
1ckb_2 -3891.3860035823272
1ckb_3 -5333.327482671892
1ckb_4 -7444.946354015745
1d7i_3 -9032.230389583012
1d7i_5 -7010.618579865735
1d7j_1 -7170.269208462501
1d7j_2 -5601.476820901917
1d7j_3 -4120.698672708677
1d7j_4 -6333.50663214158
1d7j_6 -8815.167153845607
1dpu_1 -6822.100006182787
1dpu_2 -6095.936123305088
1dpu_4 -9318.14711729325
1fkg_1 -6885.314357860385
1fkg_2 -5246.615091707903
1fkg_3 -9032.077625897546
1fkg_4 -4672.781437934758
1fkg_5 -7178.329868875895
1fkh_2 -5601.455021531401
1fkh_3 -4288.461175479388
1fkh_4 -6165.6250049041155
1fkh_5 -9711.444103198526
1fkh_6 -8647.24322096107
1fv0_1 -8857.896780834213
1fv0_2 -6712.016965587332
1fv0_3 -6163.4366261004
1fv0_4 -8909.615112466308
1fv0_6 -8190.668058887837
1gbq_1 -6420.526188168733
1gbq_2 -4213.197852040037
1gbq_4 -7373.734213941578
1haa_1 -10827.848630152359
1haa_2 -8237.89655370266
1haa_3 -10726.579700873182
1hc9_1 -10738.391204639542
1hi4_2 -6350.441168088586
1hi4_3 -10346.559222081582
1hi4_5 -5175.882868545239
1hi4_6 -8725.237436051546
1hi4_7 -9117.999039773
1hi5_1 -9279.494204426832
1hi5_3 -10346.539502409956
1hi5_4 -8257.233959776553
1hi5_6 -8725.27896831726
1hmt_1 -7651.836523188162
1hmt_2 -5024.335791487625
1hmt_3 -5700.2896905872585
1hmt_4 -6675.1474432766845
1hmt_6 -8543.773141183687
1hmt_7 -8392.095992932693
1i5h_1 -8469.01733910721
1i5h_2 -4032.1129654371252
1i5h_3 -7284.543982315714
1i8h_1 -6813.7597814685
1ikt_1 -8621.30970837349
1ikt_3 -6784.404592539999
1ikt_4 -7441.539573669172
1ikt_5 -4098.2910048167905
1ikt_7 -7518.019493670479
1jbd_1 -10937.324358511367
1jbd_3 -10726.62483993161
1jmq_1 -9848.441005620298
1jmq_2 -9401.241803676487
1jn4_1 -7979.207536853966
1jn4_2 -8946.163802841023
1jn4_4 -9064.656627181772
1jn4_6 -5151.95267028056
1jn4_7 -6264.814581655086
1jq8_4 -7684.098283826694
1jq8_5 -6645.76763843439
1jq8_6 -6520.17509508679
1jq8_7 -8141.6368846454425
1jvu_1 -7412.844838011268
1jvu_2 -10685.137787918487
1jvu_3 -8396.017656910219
