name Energy(Hartrees)
1czq_0 -18846.392369367444
1fbm_0 -19636.687345552724
1gcq_0 -22978.369628905202
1gyx_0 -29906.502652846393
1hia_0 -32042.537607697595
1qaw_0 -25386.928627012647
1sv0_0 -31583.088904113334
1swi_0 -12715.817984572277
1wqj_0 -32264.40967549826
2bt9_0 -34169.01259234373
2bwe_0 -18223.2096164081
2d1x_0 -24019.48291272571
2hwn_0 -15098.712362741993
2izx_0 -15424.515731239895
2k79_0 -25717.780299712264
2kp8_0 -27984.014911954524
2ly0_0 -11797.439358279866
2mj5_0 -29629.914852389484
2oob_0 -17252.408468788344
2qho_0 -28241.44932518649
2r3c_0 -18771.85711137546
2r5d_0 -18772.01705912524
2vx9_0 -23668.019064961933
2vxa_0 -25223.507574027637
2w0p_0 -33329.39745907695
2x9a_0 -23956.17190765473
2xqq_0 -35852.50840154174
2ylc_0 -25750.755103032803
3ax5_0 -26874.08088994422
3brt_0 -15232.041628416744
3brv_0 -14892.688539826544
3cyy_0 -30441.252639517363
3ds3_0 -29428.381097544858
3ds4_0 -18691.29697670485
3dvp_0 -34813.266697928775
3e1r_0 -19382.466940268932
3f50_0 -11865.938152513743
3g7a_0 -13200.012530724081
3h91_0 -21234.79622348462
3isw_0 -33329.272280655045
3kze_0 -34414.29538098839
3q6s_0 -26399.75229400571
3qo3_0 -23860.846850698523
3rzw_0 -33764.68459799304
3tq7_0 -15546.684807515107
3v2n_0 -19430.423574280663
3v2p_0 -19430.445553804486
3v2q_0 -19430.317474820913
3wut_0 -21950.66789158777
3wuu_0 -22294.564900780795
3wuv_0 -22972.64399671898
3zke_0 -34833.52698276902
3zrz_0 -36649.95928299375
4ds1_0 -33116.5829307657
4geq_0 -33541.82639435609
4jmf_0 -18345.720745300816
4ndu_0 -37170.08323997073
4niq_0 -30964.72795318527
4oaz_0 -28235.658656214247
4pas_0 -14831.866549082013
4qh7_0 -34204.216892660246
4qh8_0 -35145.8872299724
4rgd_0 -24725.531333222287
4u68_0 -25730.353757365432
4ynl_0 -33943.51183604315
4znx_0 -21865.199145086983
5ajc_0 -33427.12783405115
5eoa_0 -30595.502590296965
5ep6_0 -15010.389394213416
5eql_0 -27235.21245594701
5hkh_0 -31373.986316032708
5khd_0 -27344.026185585593
5o2u_0 -29686.794571374485
5ohm_0 -26603.75217671995
5sxp_0 -24206.81041495205
5t6j_0 -23604.9112322398
5tig_0 -23552.45637818164
5vh0_0 -19093.898357856786
5vkf_0 -20460.132544161257
5vwi_0 -22809.58038867946
5xiu_0 -20326.6648837947
5yr0_0 -19734.72533184974
5zmq_0 -14026.754974992524
5zvm_0 -25854.900411978975
6a87_0 -15359.208413036293
6a9c_0 -22807.8718322583
6bva_0 -33248.65165201854
6evq_0 -28286.535347091674
6fe4_0 -27682.033844180813
6fto_0 -27270.253127537027
6fx1_0 -15840.833130938176
6gbu_0 -23715.700356559886
6h7b_0 -31567.521610136027
6mmq_0 -17106.24021423742
6nxz_0 -20933.863006993837
6ny0_0 -21821.20942325442
6og4_0 -35082.4709390311
6r0x_0 -20779.03300153502
6uys_0 -31222.923501059355
6uyu_0 -32202.832697926322
